tweet,target,q1_from_reading_the_tweet_which_of_the_options_below_is_most_likely_to_be_true_about_the_stance_or_outlook_of_the_tweeter_towards_the_target,q1_from_reading_the_tweet_which_of_the_options_below_is_most_likely_to_be_true_about_the_stance_or_outlook_of_the_tweeter_towards_the_target_confidence,AdjustedScore
@NBCNews including repealing the first amendment. Way to go,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.5639,-0.5639
Remember this when they start begging for a vote... #FergusonToBaltimore #JebBush2016,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.6053,-0.6053
"#BernieSanders is running for president, don't the #democrats already have one really old guy running??",Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.612,-0.612
"@VRWCTexan WOW, she's one to talk",Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.6177,-0.6177
I would LMAO if some negro Democrat decides to run for President. #HillaryClinton2016 #HillarysBigAnnouncement #HillarysDonors,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.6191,-0.6191
"@_Poli_Ana_ No, she's got the #BlackLivesMatter vote w/o even talking to them.  Most blacks are brainwashed by @TheDemocrats",Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.6194,-0.6194
@HillaryClinton Especially the paid union lackies who have no idea why their there. Propaganda machine spinning overtime.,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.6212,-0.6212
crazy to think next up for the Oval Office is either going to be Hillary or a Republican,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.6243,-0.6243
"Technically, a president with raging hormones could refer to estrogen, testosterone or anabolic steroids #IBlamePublicSchools",Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.633,-0.633
@Chris_1791 @newsbusters 2 years ago #Hillary never answered whether she used private email #Liberal media passed on reporting,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.6346,-0.6346
"take faith that almost every political entity around you, whether dissident or not, serves no good purpose #Dempublicans",Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.6346,-0.6346
"In 2013 Clinton Foundation collected $140M and spent $9M on direct aid, in 2014 they raised $500M and spent $100M on direct aid! ",Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.6347,-0.6347
Whoever is up now let it be known that support for #MarcoRubio never sleeps! We promote the #NewAmericanCentury 24/7 #Texas #TX,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.6369,-0.6369
@JohnKerry @BALWANIKAPIL @HillaryClinton @StateDept @tomperriello  I didn't realize #PayToPlayDiplomacy was such a big hit!,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.6379,-0.6379
"No GOP candidate would ever survive any of the Hillary's scandals over the last year, much less her life. Media power. #tcot",Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.6461,-0.6461
How can she live with herself? #Benghazi,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.6477,-0.6477
@HillaryClinton Says the millionaire politician who accepts $$$ from countries that execute gays. #Hypocrite #WakeUpAmerica,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.6477,-0.6477
Hillary-speak' campaign rhetoric is going to be the death of me. @jmarkwalk,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.6479,-0.6479
"@seanhannity we lost 4,000 of our Military boys when your President pulled out of Iraq.  #LiberalConsequences ",Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.6506,-0.6506
"Wasn't the original #ScoobyVan also full of unemployed hippies & a stupid dog, who lived to meddle in other people's business?",Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.6524,-0.6524
RT @FutureTXLeader: Are y'all #TexasTech #RedRaiders ready for #MarcoRubio in #2016 #TTU #TexasTechUniversity #Rubio #Texas #N...,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.7343,-0.7343
RT @FutureTXLeader: Is everyone in #ElPaso #Texas ready for president #MarcoRubio #UTEP #NewAmericanCentury #2016 #Future #Rub...,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.7343,-0.7343
Students of #BaylorUniversity are y'all ready for #MarcoRubio in #2016 #BU #Baylor #Bears #BaylorBears #NewAmericanCentury #GOP,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.746,-0.746
Hillary Clinton has not driven a car since 1996. #clintonfakerealityshow,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.7508,-0.7508
@46drhouse - Be interesting to see how Hillary defends same when questioned.  She will eventually have to answer questions.,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.7512,-0.7512
"So @ClintonFdn, I believe Andrew Fastow beat you to the ""we made mistakes, as many organizations of our size do"" excuse",Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.7531,-0.7531
Hillary needs to go to a Sheetz gas station after 10 pm to see the real America.,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.7537,-0.7537
Don't get it twisted. A major presidential candidate using her first policy speech to talk about mass incarcertaion.,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.7539,-0.7539
How much was Monica getting paid when Bill's burrito squirted sauce all over her pretty blue dress? @MauraReynolds @politico,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.7565,-0.7565
.@HillaryClinton What's the ambient temperature in #Hell today? Use that as a guide!,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.7589,-0.7589
@FoundersGirl @Artist_Angie I want the first female to be competent.,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.759,-0.759
@FoxNews #HappeningNow optics problem? No the real Hillary Clinton has stood up #ClintonCash #IaVotes,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.7592,-0.7592
@HillaryClinton I notice that you didn't condemn the lawless actions of the rioters.,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.7594,-0.7594
"Denial. It works for Hillary, why not the Mayor of #Baltimore. #DemocratLiesMatter",Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.7594,-0.7594
@HomeOfUncleSam @ScotsFyre @RWNutjob1 @SA_Hartdegen She's too old to understand the internet...that she can be fact checked.,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.7631,-0.7631
@AlyssSmithh There she is pant suite Hillary to hide those thighs #HillarysDonors #HillarysBigAnnouncement #Benghazi #Obama,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.7717,-0.7717
Chipotle employees shouldn't complain Hillary left nothing in the tip jar. They're lucky she didn't dip in and help herself,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.7761,-0.7761
And the working american tax payer keeps on paying for the unethical liberals who want to destroy this great country of ours.,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.7883,-0.7883
"It's a miracle, suddenly #Democrats don't mind having someone who voted for war.",Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8212,-0.8212
"@tedcruz And, #HandOverTheServer she wiped clean + 30k deleted emails, explains dereliction of duty/lies re #Benghazi,etc #tcot",Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8466,-0.8466
"Yes, do tell US, name one of her accomplishments",Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8634,-0.8634
@ConservatveGurl those of us that also have a brain will be voting against Hillary...,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8689,-0.8689
Obama:  climate change or bush?  Who to blame...?  Hillary:  right wing conspiracy in Baltimore. #BalitmoreRiots,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8714,-0.8714
RT @FutureTXLeader: Who in #CorpusChristi is ready for #MarcoRubio in #2016 #Hooks #CC #Texas #TX #361 #KeepTexasRed #GOP #Tea...,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.872,-0.872
I'm thinking #Hillary throws #Chelsea under the bus to end #Foundation firestorm.  #ClintonCash #TheGreaterGood #election2016,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.872,-0.872
@KoriWasinger @JButtawipo she also voted for the Iraq war and was responsible for gathering @TheDemocrats votes to support it.,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8725,-0.8725
.@HillaryClinton is a droid & someone's programmed her to say things - thinks she doesn't have to WORK to win so she ISN'T!,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8731,-0.8731
Hillary Clinton makes Nixon look like an amateur schoolboy #ClintonCash #ClintonFoundation #Clinton,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8731,-0.8731
"Hillary Clinton keeps sending me emails, and when I try to unsubscribe, I get an error message. THIS IS CANCER",Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8731,-0.8731
Hillary's campaign events are scripted dog & pony shows designed to shelter her from vetting b4 the coronation,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8746,-0.8746
@HillaryClinton You can run but you ca't hide. #ClintonFoundationscandal #ClintonCash #emailgate,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8746,-0.8746
"@HillaryClinton is at the top, and has spent her whole career growing government, keeping the deck stacked. #LibertyNotHillary",Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8748,-0.8748
I'm a woman. Can I be President? @StopHillaryPAC,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8791,-0.8791
@ChelseaClinton @HRC Do you stand for #BillClinton assaulting teen girls too? #ReadyForHillary #HillaryClinton #Clinton2016,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.885,-0.885
Yes HRC subject 2 dbl standard Smh Come on @billclinton @HillaryClinton U Knew @ClintonFdn Donations Would b Scrutinized; Spun!,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8854,-0.8854
"If Hillary will lock Americans in classrooms during her campaign, she'll have no problems locking us all up whenever she wants.",Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8893,-0.8893
"I'd love for some reporter to ask, ""Sec Clinton, will u b returning the White House china, if elected? Or did u already hock it?""",Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8913,-0.8913
@Norsu2 secret Clinton docs? gee WHAT a surprise!,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8913,-0.8913
I love the smell of Hillary in the morning. It smells like Republican Victory. #TedCruz2016 #MarcoRubio,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8923,-0.8923
.@gailtalk @trscoop Of course it was. She'll be handled every step of the way. They can't risk her unscripted.,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8926,-0.8926
If I run for office this will be my original logo:          M   #libertynothillary  #HillNo #tcot #UniteBlue,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8935,-0.8935
@HillaryClinton End lawless #ClintonFoundation. Jail Butcher of #Benghazi. #Arrest rapist #BillClinton. #HillaryClinton,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8938,-0.8938
@HillaryClinton Hillary pandering with her logo. #ClintonFoundationscandal #ClintonCash,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8938,-0.8938
#hillaryclinton is a champion of data removal.,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8938,-0.8938
Hillary doesn't want to put anyone in prison anymore. Obviously worried about her own future.,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8972,-0.8972
I suspect Hillary's Scooby Doo tour is being used as a distraction from ServerGate et al.  #NoObamaThirdTerm,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8976,-0.8976
Breaking News: #Hillary trades campaign bus for a broomstick.,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.8976,-0.8976
"@TheView I think our country is ready for a female pres, it can't ever be Hillary",Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
I want America to great again #WhyImNotVotingForHillary,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
